legend_id	source_id	figure_label	length_band	manual_specimen_named	manual_method_modality	manual_scale_magnification	manual_marker_stain_channel	manual_colour_channel_mapping	manual_panel_position_mapping	manual_visual_annotation_explanation
leg_1e9de862f3f634e5	PMC13446293	Figure 1	mid	P	P	N	P	N	P	N
leg_20a334c834d2e6f3	PMC13433180	Figure 1	mid	N	N	N	N	N	N	N
leg_2129100706359813	PMC13442375	Figure 6	mid	N	P	N	P	P	P	N
leg_21a399000ef23e9d	PMC13443885	Fig. 7	long	P	P	P	P	N	P	P
leg_21d585754e585b52	PMC13441719	Figure 2	short	P	P	P	P	N	P	N
leg_21ff9c66d438cd6f	PMC13441176	Figure 2.	mid	P	P	P	P	P	P	N
leg_22d99ea3934ad38c	PMC13438165	Figure 7	long	P	P	P	P	P	P	N
leg_23537e26da068f17	PMC13445668	Fig. 4	short	P	P	N	P	N	P	N
leg_243cf4c03cb89afe	PMC13446196	Figure 5	mid	P	P	P	P	N	P	N
leg_26f34c6c6faa1e1d	PMC13433528	Figure 7	short	N	P	P	P	P	P	N
leg_294a0e540b77d4f5	PMC13440105	Fig. 4	mid	P	P	P	P	N	P	N
leg_2abcc2f800a08664	PMC13444244	Fig. 7	mid	P	P	N	P	P	P	N
leg_2b89b6fa718fe13a	PMC13437351	Figure 5	short	P	N	N	N	N	N	N
leg_2c267663766e80c2	PMC12461655	Figure 6	long	P	P	P	P	P	P	N
leg_2cce4b0e6f72e702	PMC13440812	Figure 4:	short	P	P	P	P	N	P	P
leg_2d91ba7a35d11f53	PMC13437050	FIGURE 2	long	P	P	P	P	N	P	P
leg_2dbb5257ffeb6505	PMC13437042	Figure 4	short	P	P	N	P	N	P	N
leg_2e41b7a268b33d67	PMC13382948	Fig. 3	mid	P	P	N	N	N	P	P
leg_2e80dd0ffa7f13a9	PMC13440420	Fig. 5.	long	P	P	P	P	P	P	P
leg_307ad146c4d4ffd6	PMC13434212	Fig. 5	mid	P	P	P	P	P	P	P
leg_30ec87090f569fc8	PMC13443050	Fig. 1	short	P	P	N	P	N	P	P
leg_3129f9f14231f605	PMC13439186	Fig. 3	short	P	P	N	N	N	P	N
leg_3230d97c3044a96e	PMC13433883	FIGURE 1	short	P	P	N	N	N	P	N
leg_324b3a1d1f814702	PMC13437954	FIGURE 2	short	P	P	P	P	P	P	P
leg_3308b5089b4ae02e	PMC13437526	FIGURE 7	short	P	P	P	P	P	P	N
leg_34a40703f39dc9b7	PMC13445324	FIGURE 8	mid	P	P	P	P	N	P	N
leg_35722fa4c32fb6c0	PMC13441353	Figure 1	short	P	P	P	P	N	P	P
leg_3821c3261697f84d	PMC13439744	FIGURE 1	short	P	P	P	P	N	P	N
leg_3896079cb7e550b5	PMC13443151	Fig. 8	long	P	P	N	P	N	P	P
leg_38a8da0748089ae1	PMC13442676	Figure 1.	short	P	P	N	P	N	P	N
leg_39bcfacd69915df1	PMC13382948	Fig. 5	mid	P	P	N	N	N	P	P
leg_3ae1e32c3c5e1d29	PMC13446903	Figure 1.	long	P	P	P	P	N	P	P
leg_3afc150827da4298	PMC12483370	FIGURE 4:	long	P	P	N	P	N	P	P
leg_3c6a4507efc265aa	PMC13439983	Figure 2	short	P	P	N	P	N	N	N
leg_3ca3c70dbdc93d0d	PMC13434385	Fig. 2	long	P	P	P	P	N	P	N
leg_3cbb873fe2f05aef	PMC13438742	Fig. 5	mid	P	P	P	P	P	P	N
leg_3d1623088f92c20c	PMC12461655	Figure 5	mid	P	P	P	P	P	P	N
leg_3d9ac7a276e817db	PMC13445848	Fig. 3	short	P	P	P	P	N	P	P
leg_3dc066ed3ca84e1c	PMC13441977	Fig. 4	long	P	P	N	P	P	P	N
leg_3e8780420fbc1ee3	PMC13440635	Figure 6	mid	P	P	N	P	N	P	N
leg_3ebdd1ec09c82b02	PMC13443737	Fig. 8	mid	P	P	P	P	P	P	P
leg_3fa23211d4931f81	PMC13439676	FIGURE 3	long	P	P	P	P	N	P	N
leg_3fbe7f46219d0df8	PMC13439435	Figure 4	short	P	P	P	P	N	P	P
leg_412b83d488fbce1c	PMC13438714	Fig. 4	mid	P	P	N	P	N	P	N
leg_415870f6946063cd	PMC13444241	Fig. 5	long	P	P	P	P	N	P	N
leg_41fbb53600fb1313	PMC13445668	Fig. 5	mid	P	P	N	P	N	P	N
leg_420e9ef4c224396e	PMC13441315	Figure 6	mid	P	P	N	P	N	P	N
leg_424338f5465483c4	PMC13436848	Figure 6.	mid	P	P	P	P	P	P	P
leg_42c12071b7d9c549	PMC13440536	Figure 14	long	P	P	N	P	N	P	N
leg_42d070ba403d219e	PMC13439188	Fig. 8	mid	P	P	P	P	P	P	P
leg_4353102ef799cddc	PMC13442872	Fig. 1	mid	P	P	P	N	P	P	P
leg_4361025b6ed77431	PMC13444140	Fig. 3	mid	P	P	N	P	N	P	N
leg_43d9bb0a4a2fa5d2	PMC13437906	Figure 5.	mid	P	P	P	P	P	P	N
leg_4516cf5459de5bd5	PMC13437137	FIG. 5.	short	P	P	P	N	N	N	P
leg_453606dc62d3c3f1	PMC13440191	FIGURE 4	long	P	P	P	N	P	P	P
leg_455441e9f63099da	PMC13438351	Figure 4.	short	P	P	P	P	P	P	N
leg_45c0c9b70242eb1e	PMC13438771	Fig. 2	mid	P	P	P	P	P	P	P
leg_45ecba7358e0da6a	PMC13445952	Figure 3	short	P	P	P	N	N	N	P
leg_460e0e81f824425d	PMC13325813	FIGURE 5	long	P	P	P	P	P	P	N
leg_4725bf03c65e7037	PMC13443325	Fig. 2	short	P	P	P	P	N	P	N
leg_47e0c0ae5adfcc88	PMC13437594	Fig. 4	short	P	P	P	P	N	P	N
leg_483242d2cc4216b9	PMC13446903	Figure 2.	long	P	P	P	P	N	P	P
leg_48ca0f93295757ea	PMC13435581	Fig. 1	short	P	P	P	P	P	P	N
leg_48f8b5b6025da5f1	PMC13441176	Figure 4.	long	P	P	P	P	N	P	P
leg_491a28adedde5159	PMC13440579	Fig. 1	short	P	P	N	P	P	P	N
leg_4bd7a6d7ada72d9e	PMC13438931	Figure 5.	short	P	P	N	P	P	P	P
leg_4cac24f35fa546e6	PMC13440630	Fig. 2	short	P	P	N	N	P	P	N
leg_4ccafdcb55cc2cbb	PMC13439855	Fig. 1	short	P	P	N	N	N	N	N
leg_4cf10c0312453194	PMC13339987	Fig. 1	short	P	P	N	N	N	P	N
leg_4dee32af1b20fdd4	PMC13436766	Fig 5	long	P	P	P	P	P	P	N
leg_4e3fb68798a099f0	PMC13436689	Figure 3	mid	P	P	P	P	P	P	P
leg_4f09da4ee4e3d12a	PMC13438400	Figure 1	mid	P	P	P	P	N	P	N
leg_4f5b585c4cb25a02	PMC13442488	Fig. 3	mid	P	P	P	P	P	P	P
leg_52ab5f8477a6c343	PMC12461627	Figure 1	long	P	P	P	P	N	P	N
leg_534a97ea7af1642a	PMC12483370	FIGURE 3:	long	P	P	N	P	N	P	P
leg_53f446fe99371f83	PMC13435792	Fig. 4	mid	P	P	N	P	N	P	N
leg_555cd4507c83e12e	PMC13325813	FIGURE 6	long	P	P	P	P	P	P	N
leg_5abb960aefb708c7	PMC13444140	Fig. 7	mid	P	P	N	P	N	P	N
leg_5b5588f8ae177fa7	PMC13445591	Figure 4.	short	P	P	P	P	N	P	N
leg_5ca8d5cf7cb2109b	PMC13255771	Fig. 3	short	P	P	P	P	N	P	N
leg_5db1582a639dcfa6	PMC13436270	Fig 7	short	P	P	P	N	N	N	N
leg_5e647e8a7241eb66	PMC13441462	Fig. 5.	short	P	P	P	P	P	P	P
leg_61a424a986158a04	PMC13446145	Figure 2	mid	P	P	N	N	N	P	P
leg_636cd02019161d35	PMC13441967	Fig. 1	long	P	P	P	P	N	P	P
leg_63ba4323a0695256	PMC13443151	Fig. 5	long	P	P	N	P	N	P	P
leg_666c864f9dd2bed5	PMC13438567	Fig. 7	long	P	N	P	P	N	P	N
leg_669ff9fff1c6fdbd	PMC13445293	Fig. 5	short	P	P	P	N	N	P	N
leg_6784c3c77704b3ef	PMC13443627	Fig. 3	long	P	P	P	P	P	P	P
leg_679509ddd53ed87b	PMC13444522	Figure 2	short	P	P	N	N	N	N	N
leg_679da8abe255b764	PMC13440570	Figure 2	mid	P	P	P	P	N	P	P
leg_681aeed37cbbb251	PMC13440360	Fig. 1.	long	P	P	P	P	N	P	P
leg_686d34224b41be45	PMC13436031	6	short	P	P	P	P	P	P	P
leg_68dcc4617ea2d125	PMC13443151	Fig. 7	mid	P	P	N	P	P	P	P
leg_69420f023ab81553	PMC13439939	Fig. 6.	long	P	P	P	P	P	P	P
leg_69bd08949f0725b1	PMC13441814	Figure 2	short	P	P	P	P	N	P	N
leg_6adea463e8235902	PMC13438319	Figure 2	mid	P	P	P	P	P	P	N
leg_6ba8f9b2504c296c	PMC13436848	Figure 1.	long	P	P	P	P	N	P	N
leg_6c454f1bc9a84195	PMC13441103	Fig. 3.	short	P	P	N	P	N	N	N
leg_6c5d8d995dbc599f	PMC13440435	Figure 5	mid	P	N	N	N	N	P	N
leg_6c624e827ec3af98	PMC13439186	Fig. 4	short	P	P	P	N	N	P	N
leg_6d6388b6217af2ec	PMC13434748	Fig. 2	short	N	P	N	N	N	P	N
leg_6da024eccc735e48	PMC13438812	Fig. 7	long	P	P	P	P	N	P	N
leg_6f257b2eab1a7b28	PMC13446539	Fig. 4.	mid	P	P	N	P	P	P	N
leg_7008de81c1e918c5	PMC13436617	1	short	P	P	N	N	N	P	N
leg_70c571f43bdbf4f1	PMC13441759	Figure 4	short	P	P	P	P	N	P	N
leg_70f3cb7b5246f20b	PMC13443881	FIGURE 1	short	P	P	P	P	N	N	N
leg_729627dbea7d70a5	PMC13442488	Fig. 1	long	P	P	P	P	P	P	P
leg_748fc0d6a746fb5c	PMC13445723	Fig. 4	short	P	P	P	P	N	P	N
leg_74f9d0ab80301a7d	PMC13435775	Fig. 1	mid	P	P	N	N	N	N	N
leg_75d0a3c1840eb6bc	PMC13441562	Fig. 5	mid	P	P	P	P	N	P	N
leg_77420787da2e34d5	PMC13438623	Fig. 3.	long	P	P	N	P	P	P	P
leg_78108bb6d48f1954	PMC13446272	Fig. 9	short	P	P	N	P	N	N	N
leg_784e3117d6cb4a7d	PMC13443506	Fig. 2	long	P	P	N	P	N	P	P
leg_7980ea15d41a27d8	PMC13433211	Figure 4	short	P	P	N	P	P	P	N
leg_79ee9e78cb1c21c0	PMC13435367	FIGURE 4	short	P	N	N	N	N	N	P
leg_7d12f0586522d3d3	PMC13446940	Figure 6	short	P	P	P	P	N	P	P
leg_7d1da822d4065e74	PMC13443130	FIGURE 5	long	P	P	N	P	N	P	P
leg_7d7bfdd5f6cdae45	PMC13434809	Fig. 2	short	P	P	P	P	N	P	N
leg_7f309a7bcfa567fd	PMC13445780	FIGURE 3	mid	P	P	P	P	N	P	N
leg_7fa4b07c8bda9769	PMC13439051	Fig. 4	mid	P	P	P	N	P	P	N
leg_813830abe7f7961d	PMC13441540	Fig. 3.	short	P	P	P	P	P	P	N
leg_820440ecfc8e98ce	PMC13434385	Fig. 5	mid	P	P	P	P	P	P	N
leg_8273a4b03abc0e88	PMC13445559	FIGURE 2	short	P	P	P	P	N	P	P
leg_8343bea31fdef6e0	PMC13434809	Fig. 3	short	P	P	P	P	N	P	N
leg_836459384162469a	PMC13442440	Figure 7	mid	P	P	N	P	N	P	N
leg_8505012244b58a9b	PMC13436824	Fig 3	long	P	P	P	P	N	P	N
leg_85a7433ffb375eb3	PMC13445663	Fig. 1	long	P	P	P	P	P	P	P
leg_85ba99863a8a4ac5	PMC13439699	Fig. 3.	mid	P	P	N	P	N	P	N
leg_8880b5b5bf4dbbde	PMC13442808	Fig. 5	mid	N	P	N	P	P	P	N
leg_88bc9944497816f4	PMC13444399	FIGURE 2	long	P	P	P	P	P	P	N
leg_88f266db98b0f6ba	PMC13440199	FIGURE 2	mid	P	P	N	P	N	P	N
leg_89ccb4ea4ff95572	PMC13446940	Figure 5	short	P	P	P	P	N	P	N
leg_8a7dc10dab40fa39	PMC13442979	Figure 1	short	P	P	N	N	N	P	N
leg_8af53b0b129f85c1	PMC13441315	Figure 4	mid	P	P	P	P	N	P	N
leg_8b5e006f5d069513	PMC13445952	Figure 1	short	P	P	N	P	N	N	P
leg_8bcd3ce897197b81	PMC13440606	Fig. 4	long	P	P	P	P	P	P	P
leg_8cd7b498af9f5533	PMC13442787	Fig. 1	short	P	N	P	P	P	P	P
leg_8ce4978f4eaf2fb4	PMC13446303	Fig. 5	mid	P	P	N	P	P	P	N
leg_8d80c32b9e166ebb	PMC13438716	Fig. 4	short	P	P	P	P	N	P	N
leg_8e08dc709526f743	PMC13441315	Figure 2	short	P	P	P	N	N	P	N
leg_8f4e295c9061e50c	PMC12890891	Fig. 4.	long	P	P	N	P	P	P	N
leg_8f96f7cab483b6b8	PMC13433926	Fig. 3.	long	P	P	P	P	N	P	N
leg_925a15afce279c67	PMC13438112	Fig. 3	long	P	P	P	P	N	P	P
leg_946eb4a00c4448f5	PMC13443885	Fig. 3	mid	P	P	P	P	N	P	P
leg_959b3b96e3f0182c	PMC13436567	Figure 5	short	P	P	P	P	N	P	P
leg_972c73163074e6f5	PMC13325875	FIGURE 4	long	P	P	N	P	N	P	P
leg_972ca9010c23b2e9	PMC13442676	Figure 2.	short	P	P	N	N	N	P	N
leg_98d38a1f207f0f01	PMC13433867	Figure 1	mid	P	P	N	P	N	N	N
leg_9b826f5d6b2066c6	PMC13437346	Figure 3	short	P	P	P	P	N	P	N
leg_9b99b4668fde2402	PMC13437906	Figure 6.	long	P	P	P	P	N	P	N
leg_9c8111ed62ea54fb	PMC13445646	FIGURE 3	long	P	P	N	P	N	P	P
leg_9ca5b55c5cd62278	PMC13438034	Fig. 5.	long	P	P	P	P	N	P	N
leg_a0b80205a320c14c	PMC13442801	Fig. 1	long	P	P	P	P	N	P	N
leg_a0dd2051860c11fa	PMC13444109	Fig. 6	mid	P	P	N	P	N	P	N
leg_a1f7451e30d55745	PMC13435121	Fig. 1	mid	P	P	P	N	N	P	P
leg_a2159c41528fa044	PMC13433504	Fig. 1	short	P	P	P	N	N	N	N
leg_a21f54d54bb8fdf1	PMC13437594	Fig. 3	short	P	P	P	P	N	P	N
leg_a2429415ab4aba71	PMC13439881	Fig. 2	long	P	P	P	P	N	P	N
leg_a32f20c409ab5ef0	PMC13447015	Figure 7	mid	P	P	N	P	N	P	N
leg_a37836ba02d3222a	PMC13445334	FIGURE 6	short	N	P	N	N	N	P	N
leg_a387fb42ab96122d	PMC13437015	Figure 1.	mid	P	P	N	N	N	N	N
leg_a3b7e41057a5fe03	PMC13326035	FIGURE 5	mid	P	P	P	P	P	P	N
leg_a412e179572162bc	PMC13440370	FIGURE 1	long	P	P	P	P	P	P	N
leg_a532515b6963b15d	PMC13441495	Fig. 4.	mid	P	P	P	P	N	P	P
leg_a69ca7060c118378	PMC13441772	Figure 6	short	P	P	N	N	N	P	N
leg_a91395efb08f28e3	PMC12890856	Fig. 1.	long	P	P	N	P	P	P	P
leg_ac3ce703f2a51ef0	PMC13441030	Fig. 6	short	P	P	P	N	N	P	N
leg_ad07b885a7b7ee4c	PMC13440579	Fig. 8	mid	P	P	P	P	N	N	N
leg_ae267c6263671975	PMC13446550	Figure 6.	mid	P	P	P	P	N	P	N
leg_ae67464e701c0dc8	PMC13444262	Fig. 1	mid	P	P	P	P	N	P	P
leg_aeedfb2f66c1e059	PMC13446884	Fig. 2.	long	P	P	N	P	N	P	N
leg_b03f1a39de930f08	PMC13443300	Fig. 4	mid	P	P	P	P	N	P	P
leg_b0a75bf7587e7184	PMC13441531	FIGURE 1	mid	P	P	N	P	P	P	N
leg_b0c2d2b21ee89211	PMC13438165	Figure 1	mid	P	P	P	P	N	P	N
leg_b0e4998ec3814710	PMC13440370	FIGURE 5	long	P	P	P	P	P	P	N
leg_b0f8ec1010bdb28f	PMC13441817	Figure 2	mid	P	P	P	P	N	N	P
leg_b2147f1cb6dfe2ea	PMC13438036	Fig. 4.	long	P	P	N	P	N	P	N
leg_b2f11cff6040ceb3	PMC13447023	Fig. 3	short	P	P	P	P	N	P	N
leg_b35f8bc0563d70a8	PMC13435603	Fig. 3	short	P	P	P	P	N	P	P
leg_b43b2e09de9dbdd2	PMC13441977	Fig. 3	long	P	P	P	P	P	P	N
leg_b4b854ed9831593b	PMC13446219	Figure 7.	mid	P	P	P	P	N	P	N
leg_b5fbe3d623255d2f	PMC13439188	Fig. 5	mid	P	P	P	P	P	P	N
leg_b6fa987248f9cdb0	PMC13446619	FIGURE 8	short	P	P	P	P	P	P	N
leg_b86adfce578f1a6f	PMC13446906	Figure 5.	mid	P	P	N	P	P	P	P
leg_bace64dc9910ad82	PMC13442863	Fig. 1	short	P	P	P	N	N	P	P
leg_bb182057b4e3e02c	PMC13437835	Fig. 4	mid	N	P	P	P	N	P	N
leg_bb53ce4be7cba18b	PMC13440360	Fig. 7.	long	P	P	P	N	P	P	P
leg_bb91f60bfa6b0455	PMC13443536	Fig. 7	short	P	P	N	N	N	N	N
leg_bbaad621467016a4	PMC13437977	Figure 2	short	P	P	P	P	N	P	N
leg_bc264200e2dfeaea	PMC13438534	Fig. 10	short	P	P	P	P	N	P	N
leg_bc4b7227c301b9f5	PMC13442570	Fig. 6	long	P	P	N	P	N	P	N
leg_bc857b37e3b6f9bc	PMC13438034	Fig. 4.	long	P	P	P	P	N	P	N
leg_bd1dba736fc9fe74	PMC13433928	Fig. 4.	mid	P	P	N	P	N	P	N
leg_bd2155675c987fea	PMC13442488	Fig. 2	mid	P	P	P	P	P	P	P
leg_bd92e08f160d35b5	PMC13440603	Figure 8	mid	P	P	P	P	N	P	P
leg_bedad4d57444d0d0	PMC13344122	Fig. 4	short	P	P	N	N	N	P	N
leg_bf0c840f1ff49cd3	PMC13438841	Figure S4.	mid	P	P	P	P	N	P	P
leg_bf81fd5274db2800	PMC13441507	Fig. 2	short	P	P	N	P	N	P	N
leg_bfeb4c4e50c0a154	PMC13446041	Fig. 5	short	P	P	P	N	N	N	N
leg_bffb6814c5e1bd81	PMC13438759	Fig. 2	short	P	P	P	N	N	N	P
leg_c228e6397ed71120	PMC13440337	Figure 2	long	P	P	P	P	N	P	N
leg_c5e6d9ffc9840a86	PMC13436948	Fig. 2.	short	P	P	N	P	N	P	N
leg_c612dc362208e3ec	PMC13438567	Fig. 5	long	P	N	P	P	N	P	N
leg_c6b8e8ba474699bb	PMC13439676	FIGURE 5	long	P	P	P	P	N	P	N
leg_c6ddfcef75b60d31	PMC13433728	Fig. 3	mid	P	P	N	N	N	P	N
leg_c8bdc84e1fda9b51	PMC13433504	Fig. 4	short	P	P	N	P	N	P	N
leg_c9b283b7620d0c17	PMC13438774	Fig. 6	long	P	P	P	P	P	P	N
leg_c9e4dbea6e08d49f	PMC13435792	Fig. 6	mid	P	P	N	P	N	P	N
leg_ca0dbc2b99708b1d	PMC13438109	Fig. 1	short	P	P	P	N	N	P	N
leg_ca2e288e2c351085	PMC13438774	Fig. 7	long	P	P	P	P	P	P	N
leg_ca88ccf51c8ab8a4	PMC13440673	Figure 2	short	P	P	P	P	P	P	P
leg_cbe0fde1671d1793	PMC13444140	Fig. 5	mid	P	P	N	P	N	P	N
leg_cbeab7c494f0b6b4	PMC13446619	FIGURE 18	short	P	P	P	P	P	P	N
leg_cc33f89c5dc86c13	PMC13439419	Fig. 3	long	P	P	P	P	P	P	P
leg_cc3c6d81351ef1f0	PMC13325999	FIGURE 4	mid	P	P	N	P	N	P	N
leg_cd61230da49a58e7	PMC13445752	Fig 1.	short	P	P	N	P	N	P	N
leg_cd84e7398e735385	PMC13440624	Figure 4	short	P	P	P	P	N	P	N
leg_cf72597da433ca71	PMC13440773	Figure 4:	short	P	P	P	P	N	P	N
leg_cf7cf5b4e8c06f0e	PMC13433504	Fig. 3	short	P	P	N	N	N	N	N
leg_d0599c77980bc191	PMC13437295	Figure 5	short	P	P	P	P	N	P	P
leg_d1f3ad24be42e659	PMC13434772	Fig. 3	mid	P	P	N	P	N	P	N
leg_d201d865a2700e36	PMC13445938	Fig. 3	mid	P	P	N	P	N	P	N
leg_d2347db9814d1838	PMC13439632	Figure 1	mid	P	P	P	P	P	P	N
leg_d356d0311f07bdc1	PMC13445212	Figure 3	long	P	P	P	P	N	P	N
leg_d5a15159787f26ba	PMC13438321	Figure 3	short	P	P	N	P	N	P	N
leg_d5bca29ffc473e88	PMC13433883	FIGURE 2	mid	P	P	N	P	N	P	N
leg_d6f08d1ce3761b0a	PMC13439051	Fig. 3	mid	P	P	N	P	N	P	P
leg_d994c58415a1da94	PMC13440201	FIGURE 7	mid	P	P	P	P	N	P	N
leg_db5fdf6ba670843f	PMC13441833	Figure 4	short	P	P	N	N	N	N	N
leg_dd51b1b29596212d	PMC13443107	Fig. 6	long	P	P	P	P	P	P	N
leg_ddb4336b4408003a	PMC13435446	Fig. 4	mid	P	P	N	P	N	P	P
leg_ddd4d882b1347dc2	PMC13436567	Figure 6	short	P	P	P	P	N	P	P
leg_df60e2ed8e8d146a	PMC13443349	Fig. 4	long	P	P	P	P	P	P	P
leg_dfe2205919f43ce2	PMC13433290	Figure 3	short	P	P	P	P	P	P	N
leg_e20e767222405fda	PMC13442808	Fig. 7	short	P	P	N	P	P	P	P
leg_e240f9ad0d5f166c	PMC13440150	Figure 1	mid	P	P	N	N	N	P	N
leg_e3b082e4de05f7ee	PMC13445954	Figure 3	short	P	P	P	P	N	P	N
leg_e437fee8e90ae97d	PMC13438619	Fig. 2	mid	P	P	N	N	N	P	P
leg_e4fcd279ebcd7fab	PMC13441388	Figure 1	short	P	P	P	P	P	P	P
leg_e77bc61f735a7d79	PMC13441920	Fig. 1	mid	N	P	N	P	N	P	P
leg_e903d971e120ba90	PMC13439220	FIGURE 2	mid	P	P	N	P	N	P	N
leg_e92678edfc147c04	PMC13443130	FIGURE 2	long	P	P	N	P	N	P	P
leg_ebd95531063acb70	PMC13440888	Fig 1	long	P	P	P	P	N	P	P
leg_ec07ab7cb649c782	PMC13436962	Figure 3.	mid	P	P	N	P	N	P	N
leg_ed33ceed9cefa772	PMC13440128	Figure 2	mid	N	P	N	P	N	N	N
leg_ed6d9bca842f666b	PMC13436198	Figure 2	long	P	P	P	P	N	P	N
leg_ed8c44b37b98bbbe	PMC13437145	Fig. 1	short	P	P	P	P	N	P	P
leg_eec115fe1f35d51b	PMC13446568	Fig. 3.	long	P	P	N	P	P	P	P
leg_ef0e15acd624a1a9	PMC13441558	Fig. 2	mid	P	P	P	P	P	P	N
leg_ef36c361fdc66ef3	PMC13440391	Fig. 1.	mid	P	P	N	N	N	P	P
leg_ef76b4d3500e60c1	PMC13443889	Fig. 3	long	N	N	P	N	P	P	P
leg_efdc77eae0aeb329	PMC13444802	FIGURE 2	long	P	P	P	P	P	P	P
leg_f1944d13a7050daf	PMC13437351	Figure 1	short	P	P	N	N	N	N	N
leg_f1d8f79e972dda18	PMC13439372	Fig. 2	long	P	P	P	P	P	P	P
leg_f2d482b9b4a17b79	PMC13445334	FIGURE 11	short	P	P	N	N	N	P	N
leg_f48779bcd7df2466	PMC13441920	Fig. 2	long	P	P	N	P	P	P	P
leg_f48a32d0902a9de2	PMC13440670	Figure 4	mid	P	P	P	P	N	P	P
leg_f508e86587723aa8	PMC13441977	Fig. 2	long	P	P	P	P	P	P	N
leg_f671752ce7897f1d	PMC13435848	Fig. 3	short	P	P	P	N	N	P	N
leg_f69fdad74703fa7e	PMC13433806	Fig. 3	long	P	P	P	P	N	P	P
leg_f778406aa0962368	PMC13441178	Figure 9.	mid	P	P	N	P	N	P	N
leg_f783f10e9570d3bc	PMC13441462	Fig. 6.	mid	P	P	N	N	N	P	P
leg_f7a5be99f3a6ac8d	PMC13438321	Figure 1	short	P	P	N	P	N	P	N
leg_f8c1907fd6d729c1	PMC13444353	FIGURE 2	short	P	P	P	P	N	P	P
leg_f9941e0094e849f2	PMC13442771	Fig. 14	short	P	P	N	P	P	P	N
leg_fa7acbb223a376f1	PMC13443399	Figure 8.	mid	P	P	P	P	N	P	N
leg_fab8f2a9df20daeb	PMC13440469	Figure 3	long	P	P	N	P	N	P	P
leg_fdcbed9babc5e300	PMC13438771	Fig. 1	short	P	P	P	P	P	N	N
